age,duration,campaign,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,y,job_blue.collar,job_management,job_services,job_technician,marital_married,marital_single,education_basic.6y,education_basic.9y,education_high.school,education_professional.course,education_university.degree,default_unknown,housing_yes,loan_yes,contact_telephone,month_aug,month_jul,month_jun,month_may,month_nov,day_of_week_mon,day_of_week_thu,day_of_week_tue,day_of_week_wed,poutcome_nonexistent
57,616,1,0,1.1,93.994,-36.4,4.857,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,1
35,355,1,0,1.1,93.994,-36.4,4.857,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1
45,225,2,0,1.1,93.994,-36.4,4.857,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
54,160,1,0,1.1,93.994,-36.4,4.857,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
55,135,1,0,1.1,93.994,-36.4,4.857,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1
50,161,1,0,1.1,93.994,-36.4,4.857,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,1
45,787,1,0,1.1,93.994,-36.4,4.857,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1
47,449,1,0,1.1,93.994,-36.4,4.857,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1
42,164,1,0,1.1,93.994,-36.4,4.857,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1
42,366,1,0,1.1,93.994,-36.4,4.857,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
48,357,1,0,1.1,93.994,-36.4,4.857,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
37,232,1,0,1.1,93.994,-36.4,4.857,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
44,91,1,0,1.1,93.994,-36.4,4.857,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
56,158,2,0,1.1,93.994,-36.4,4.857,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
41,200,1,0,1.1,93.994,-36.4,4.857,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
44,172,1,0,1.1,93.994,-36.4,4.857,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1
57,211,1,0,1.1,93.994,-36.4,4.857,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
37,214,1,0,1.1,93.994,-36.4,4.857,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1
41,1575,1,0,1.1,93.994,-36.4,4.857,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1
55,349,1,0,1.1,93.994,-36.4,4.857,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
33,337,2,0,1.1,93.994,-36.4,4.857,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1
55,272,1,0,1.1,93.994,-36.4,4.857,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1
51,212,1,0,1.1,93.994,-36.4,4.857,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
38,165,2,0,1.1,93.994,-36.4,4.857,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
49,1042,1,0,1.1,93.994,-36.4,4.857,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1
38,20,1,0,1.1,93.994,-36.4,4.857,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1
31,246,1,0,1.1,93.994,-36.4,4.857,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
39,192,1,0,1.1,93.994,-36.4,4.857,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,1
49,1467,1,0,1.1,93.994,-36.4,4.857,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
35,180,2,0,1.1,93.994,-36.4,4.857,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1
57,48,1,0,1.1,93.994,-36.4,4.857,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1
60,213,2,0,1.1,93.994,-36.4,4.857,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1
33,545,1,0,1.1,93.994,-36.4,4.857,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
42,583,1,0,1.1,93.994,-36.4,4.857,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1
42,426,1,0,1.1,93.994,-36.4,4.857,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
37,197,1,0,1.1,93.994,-36.4,4.857,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
44,257,1,0,1.1,93.994,-36.4,4.857,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
54,229,1,0,1.1,93.994,-36.4,4.857,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
52,197,1,0,1.1,93.994,-36.4,4.857,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
43,21,1,0,1.1,93.994,-36.4,4.857,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
42,293,1,0,1.1,93.994,-36.4,4.857,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1
43,325,1,0,1.1,93.994,-36.4,4.857,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1
60,514,1,0,1.1,93.994,-36.4,4.857,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1
55,212,2,0,1.1,93.994,-36.4,4.857,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1
37,337,2,0,1.1,93.994,-36.4,4.857,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
36,286,1,0,1.1,93.994,-36.4,4.857,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
52,247,2,0,1.1,93.994,-36.4,4.857,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
57,518,1,0,1.1,93.994,-36.4,4.857,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1
48,178,1,0,1.1,93.994,-36.4,4.857,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1
49,439,1,0,1.1,93.994,-36.4,4.857,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
41,139,1,0,1.1,93.994,-36.4,4.857,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
45,79,1,0,1.1,93.994,-36.4,4.857,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
42,262,2,0,1.1,93.994,-36.4,4.857,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1
31,78,1,0,1.1,93.994,-36.4,4.857,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1
56,102,2,0,1.1,93.994,-36.4,4.857,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
41,677,1,0,1.1,93.994,-36.4,4.857,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
35,267,1,0,1.1,93.994,-36.4,4.857,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
37,345,1,0,1.1,93.994,-36.4,4.857,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
52,185,1,0,1.1,93.994,-36.4,4.857,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
39,207,1,0,1.1,93.994,-36.4,4.857,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
39,69,2,0,1.1,93.994,-36.4,4.857,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
56,100,2,0,1.1,93.994,-36.4,4.857,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
34,125,2,0,1.1,93.994,-36.4,4.857,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
45,461,1,0,1.1,93.994,-36.4,4.857,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1
43,240,1,0,1.1,93.994,-36.4,4.857,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1
39,193,1,0,1.1,93.994,-36.4,4.857,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1
53,136,1,0,1.1,93.994,-36.4,4.857,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
38,73,1,0,1.1,93.994,-36.4,4.857,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1
42,541,1,0,1.1,93.994,-36.4,4.857,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
35,338,1,0,1.1,93.994,-36.4,4.857,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
40,163,1,0,1.1,93.994,-36.4,4.857,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1
51,87,1,0,1.1,93.994,-36.4,4.857,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
56,46,1,0,1.1,93.994,-36.4,4.857,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1
39,52,1,0,1.1,93.994,-36.4,4.857,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1
40,155,1,0,1.1,93.994,-36.4,4.857,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1
36,98,1,0,1.1,93.994,-36.4,4.857,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1
51,243,1,0,1.1,93.994,-36.4,4.857,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
59,579,2,0,1.1,93.994,-36.4,4.857,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
24,165,2,0,1.1,93.994,-36.4,4.857,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1
37,163,2,0,1.1,93.994,-36.4,4.857,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1
42,559,3,0,1.1,93.994,-36.4,4.857,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
39,2033,1,0,1.1,93.994,-36.4,4.857,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
37,85,1,0,1.1,93.994,-36.4,4.857,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
43,181,1,0,1.1,93.994,-36.4,4.857,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1
36,427,1,0,1.1,93.994,-36.4,4.857,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
45,292,1,0,1.1,93.994,-36.4,4.857,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,1
46,128,2,0,1.1,93.994,-36.4,4.857,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
44,107,1,0,1.1,93.994,-36.4,4.857,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1
51,303,2,0,1.1,93.994,-36.4,4.857,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
28,81,1,0,1.1,93.994,-36.4,4.857,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
37,270,1,0,1.1,93.994,-36.4,4.857,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
34,228,1,0,1.1,93.994,-36.4,4.857,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
46,240,1,0,1.1,93.994,-36.4,4.857,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1
36,233,3,0,1.1,93.994,-36.4,4.857,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1
54,102,1,0,1.1,93.994,-36.4,4.857,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
51,250,1,0,1.1,93.994,-36.4,4.857,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
54,130,1,0,1.1,93.994,-36.4,4.857,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
49,252,1,0,1.1,93.994,-36.4,4.857,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
34,138,1,0,1.1,93.994,-36.4,4.857,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1
41,412,1,0,1.1,93.994,-36.4,4.857,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
45,19,2,0,1.1,93.994,-36.4,4.857,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
34,55,1,0,1.1,93.994,-36.4,4.857,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1
48,717,1,0,1.1,93.994,-36.4,4.857,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
34,289,1,0,1.1,93.994,-36.4,4.857,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
40,683,2,0,1.1,93.994,-36.4,4.857,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1
43,1077,1,0,1.1,93.994,-36.4,4.857,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
33,146,2,0,1.1,93.994,-36.4,4.857,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
32,167,1,0,1.1,93.994,-36.4,4.857,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
44,172,1,0,1.1,93.994,-36.4,4.857,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
35,217,1,0,1.1,93.994,-36.4,4.857,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1
35,67,1,0,1.1,93.994,-36.4,4.857,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
36,256,1,0,1.1,93.994,-36.4,4.857,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
59,477,1,0,1.1,93.994,-36.4,4.857,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
57,611,2,0,1.1,93.994,-36.4,4.857,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
39,471,1,0,1.1,93.994,-36.4,4.857,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1
39,381,2,0,1.1,93.994,-36.4,4.857,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1
30,408,1,0,1.1,93.994,-36.4,4.857,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1
50,287,1,0,1.1,93.994,-36.4,4.857,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
35,216,2,0,1.1,93.994,-36.4,4.857,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
43,366,2,0,1.1,93.994,-36.4,4.857,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
36,210,1,0,1.1,93.994,-36.4,4.857,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1
40,168,1,0,1.1,93.994,-36.4,4.857,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
58,132,1,0,1.1,93.994,-36.4,4.857,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
35,209,2,0,1.1,93.994,-36.4,4.857,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
43,410,3,0,1.1,93.994,-36.4,4.857,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
45,177,1,0,1.1,93.994,-36.4,4.857,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1
39,580,2,0,1.1,93.994,-36.4,4.857,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
50,165,1,0,1.1,93.994,-36.4,4.857,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
39,357,1,0,1.1,93.994,-36.4,4.857,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
56,136,1,0,1.1,93.994,-36.4,4.857,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
33,189,2,0,1.1,93.994,-36.4,4.857,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1
43,213,3,0,1.1,93.994,-36.4,4.857,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,1
57,238,2,0,1.1,93.994,-36.4,4.857,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
34,730,2,0,1.1,93.994,-36.4,4.857,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
30,40,1,0,1.1,93.994,-36.4,4.857,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1
33,181,2,0,1.1,93.994,-36.4,4.857,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
32,79,1,0,1.1,93.994,-36.4,4.857,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
36,142,2,0,1.1,93.994,-36.4,4.857,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
36,389,1,0,1.1,93.994,-36.4,4.857,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1
33,702,1,0,1.1,93.994,-36.4,4.857,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
40,151,1,0,1.1,93.994,-36.4,4.857,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
51,117,1,0,1.1,93.994,-36.4,4.857,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
36,232,3,0,1.1,93.994,-36.4,4.857,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
28,408,2,0,1.1,93.994,-36.4,4.857,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
53,370,3,0,1.1,93.994,-36.4,4.857,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1
45,46,1,0,1.1,93.994,-36.4,4.857,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1
